iter	MAE
0	0.8936829891
1	0.8908338027
2	0.8875673484
3	0.8843656397
4	0.8815467535
5	0.8786937252
6	0.875968218
7	0.8732737513
8	0.8708839411
9	0.8684716327
10	0.8656504156
11	0.8629387636
12	0.8603607367
13	0.8581543567
14	0.8558823736
15	0.8530923869
16	0.8507058108
17	0.8483730378
18	0.8457042766
19	0.8433779373
20	0.8413473425
21	0.839300978
22	0.8372073586
23	0.8352934634
24	0.8331321903
25	0.8310698437
26	0.829022424
27	0.8269215618
28	0.8253431389
29	0.8231802389
30	0.8212536119
31	0.8194115898
32	0.8175401712
33	0.815570131
34	0.8139414619
35	0.8124552137
36	0.8109338046
37	0.8091800692
38	0.8074617242
39	0.8060858966
40	0.8047292293
41	0.8031426171
42	0.8016931945
43	0.8003016036
44	0.7986352132
45	0.797309863
46	0.7959754826
47	0.7945244358
48	0.7931269505
49	0.791921651
50	0.7907523102
51	0.7894401542
52	0.7881886299
53	0.787119784
54	0.7861232557
55	0.7850467993
56	0.7838655536
57	0.782804941
58	0.7817422914
59	0.7809089509
60	0.7798222203
61	0.7789038817
62	0.7779925717
63	0.7772536737
64	0.7761341363
65	0.7751355764
66	0.7742322145
67	0.7732708937
68	0.7724509625
69	0.7716001406
70	0.7707299252
71	0.7700080211
72	0.769049214
73	0.7682402812
74	0.7672333638
75	0.7664101987
76	0.7657910656
77	0.7651767001
78	0.764606838
79	0.7640015489
80	0.7634463713
81	0.762831756
82	0.7623441417
83	0.7617628933
84	0.7612924225
85	0.7607914088
86	0.7603370168
87	0.7598197327
88	0.7593441291
89	0.7589194408
90	0.7582651593
91	0.7578776993
92	0.7575576065
93	0.7571149256
94	0.7567192185
95	0.7563080703
96	0.7558239318
97	0.7554331756
98	0.7550064068
99	0.7546152288
100	0.7541628482
101	0.7537667908
102	0.7533529428
103	0.7529011463
104	0.7524351675
105	0.7519269902
106	0.7515290679
107	0.7510634388
108	0.7507118511
109	0.7502668234
110	0.749919595
111	0.7495501072
112	0.7492194217
113	0.7489634763
114	0.7484988967
115	0.7480990007
116	0.7476131135
117	0.7472132357
118	0.7468601591
119	0.7465747295
120	0.746215895
121	0.7459000484
122	0.745491884
123	0.7452592848
124	0.7449202565
125	0.744539005
126	0.744195348
127	0.743926085
128	0.7436116194
129	0.7433035234
130	0.7429867617
131	0.7427218696
132	0.7424504109
133	0.7421077301
134	0.7418154601
135	0.7415715173
136	0.7413336539
137	0.7410795848
138	0.7406930965
139	0.7403668618
140	0.7401303003
141	0.7398815844
142	0.739727328
143	0.7394276756
144	0.7392492222
145	0.7390647262
146	0.7387259219
147	0.7384439108
148	0.7383389199
149	0.7381068188
150	0.7378285068
151	0.7375464464
152	0.7373541262
153	0.7370143992
154	0.7368055846
155	0.736669305
156	0.7364816618
157	0.7362376467
158	0.7361304664
159	0.7359544162
160	0.735784625
161	0.7355638292
162	0.7353296498
163	0.7351226474
164	0.7348792861
165	0.7346664855
166	0.7345517834
167	0.7342278492
168	0.7339613683
169	0.7337921524
170	0.7335447915
171	0.7333681343
172	0.7330856139
173	0.7327993307
174	0.732695003
175	0.7325281284
